,Abilities,Attack,Base EXP,Base Happiness,Catch rate,Defense,EV yield,Egg Groups,Egg cycles,Gender,Growth Rate,HP,Height,Japanese,Local №,National №,Sp. Atk,Sp. Def,Species,Speed,Type,Weight,desc,name
14,SwarmSniper (hidden ability),90,159,70 (normal),"45 (5.9% with PokBall, full HP)",40," 2 Attack, 1 Special Defense", Bug ,"16 (minimum 4,080 steps)","50% male, 50% female",Medium Fast,65,3′3″ (0.99m),Supia,"015 (Red,Blue,Yellow,FireRed,LeafGreen)029 (Gold,Silver,Crystal)029 (HeartGold,SoulSilver)028 (X,Y)",015,45,80,Poison Bee Pokmon,75, Bug Poison ,65 lbs (29.5 kg)," Beedrill is a Bug/Poison type Pokmon introduced in Generation 1. It is known as the Poison Bee Pokmon. Beedrill has a Mega Evolution, available from Omega Ruby & Alpha Sapphire onwards. ",Beedrill
15,Keen EyeTangled FeetBig Pecks (hidden ability),45,55,70 (normal),"255 (33.3% with PokBall, full HP)",40, 1 Speed, Flying ,"16 (minimum 4,080 steps)","50% male, 50% female",Medium Slow,40,1′0″ (0.30m),Poppo,"016 (Red,Blue,Yellow,FireRed,LeafGreen)010 (Gold,Silver,Crystal)010 (HeartGold,SoulSilver)017 (X,Y)",016,35,35,Tiny Bird Pokmon,56, Normal Flying ,4 lbs (1.8 kg), Pidgey is a Normal/Flying type Pokmon introduced in Generation 1. It is known as the Tiny Bird Pokmon. ,Pidgey
16,Keen EyeTangled FeetBig Pecks (hidden ability),60,113,70 (normal),"120 (15.7% with PokBall, full HP)",55, 2 Speed, Flying ,"16 (minimum 4,080 steps)","50% male, 50% female",Medium Slow,63,3′7″ (1.09m),Pijon,"017 (Red,Blue,Yellow,FireRed,LeafGreen)011 (Gold,Silver,Crystal)011 (HeartGold,SoulSilver)018 (X,Y)",017,50,50,Bird Pokmon,71, Normal Flying ,66.1 lbs (30.0 kg), Pidgeotto is a Normal/Flying type Pokmon introduced in Generation 1. It is known as the Bird Pokmon. ,Pidgeotto
17,Keen EyeTangled FeetBig Pecks (hidden ability),80,172,70 (normal),"45 (5.9% with PokBall, full HP)",75, 3 Speed, Flying ,"16 (minimum 4,080 steps)","50% male, 50% female",Medium Slow,83,4′11″ (1.50m),Pijotto,"018 (Red,Blue,Yellow,FireRed,LeafGreen)012 (Gold,Silver,Crystal)012 (HeartGold,SoulSilver)019 (X,Y)",018,70,70,Bird Pokmon,101, Normal Flying ,87.1 lbs (39.5 kg)," Pidgeot is a Normal/Flying type Pokmon introduced in Generation 1. It is known as the Bird Pokmon. Pidgeot has a Mega Evolution, available from Omega Ruby & Alpha Sapphire onwards. ",Pidgeot
18,GutsRun AwayHustle (hidden ability),56,57,70 (normal),"255 (33.3% with PokBall, full HP)",35, 1 Speed, Field ,"16 (minimum 4,080 steps)","50% male, 50% female",Medium Fast,30,1′0″ (0.30m),Koratta,"019 (Red,Blue,Yellow,FireRed,LeafGreen)017 (Gold,Silver,Crystal)017 (HeartGold,SoulSilver)059 (Black 2,White 2)",019,25,35,Mouse Pokmon,72, Normal ,7.7 lbs (3.5 kg), Rattata is a Normal type Pokmon introduced in Generation 1. It is known as the Mouse Pokmon. Rattata has a new Alolan form introduced in Pokmon Sun/Moon. ,Rattata
19,GutsRun AwayHustle (hidden ability),81,116,70 (normal),"127 (16.6% with PokBall, full HP)",60, 2 Speed, Field ,"16 (minimum 4,080 steps)","50% male, 50% female",Medium Fast,55,2′4″ (0.71m),Ratta,"020 (Red,Blue,Yellow,FireRed,LeafGreen)018 (Gold,Silver,Crystal)018 (HeartGold,SoulSilver)060 (Black 2,White 2)",020,50,70,Mouse Pokmon,97, Normal ,40.8 lbs (18.5 kg), Raticate is a Normal type Pokmon introduced in Generation 1. It is known as the Mouse Pokmon. ,Raticate
20,Keen EyeSniper (hidden ability),60,58,70 (normal),"255 (33.3% with PokBall, full HP)",30, 1 Speed, Flying ,"16 (minimum 4,080 steps)","50% male, 50% female",Medium Fast,40,1′0″ (0.30m),Onisuzume,"021 (Red,Blue,Yellow,FireRed,LeafGreen)013 (Gold,Silver,Crystal)013 (HeartGold,SoulSilver)109 (X,Y)",021,31,31,Tiny Bird Pokmon,70, Normal Flying ,4.4 lbs (2.0 kg), Spearow is a Normal/Flying type Pokmon introduced in Generation 1. It is known as the Tiny Bird Pokmon. ,Spearow
21,Keen EyeSniper (hidden ability),90,162,70 (normal),"90 (11.8% with PokBall, full HP)",65, 2 Speed, Flying ,"16 (minimum 4,080 steps)","50% male, 50% female",Medium Fast,65,3′11″ (1.19m),Onidoriru,"022 (Red,Blue,Yellow,FireRed,LeafGreen)014 (Gold,Silver,Crystal)014 (HeartGold,SoulSilver)110 (X,Y)",022,61,61,Beak Pokmon,100, Normal Flying ,83.8 lbs (38.0 kg), Fearow is a Normal/Flying type Pokmon introduced in Generation 1. It is known as the Beak Pokmon. ,Fearow
22,IntimidateShed SkinUnnerve (hidden ability),60,62,70 (normal),"255 (33.3% with PokBall, full HP)",44, 1 Attack," Dragon, Field ","21 (minimum 5,355 steps)","50% male, 50% female",Medium Fast,35,6′7″ (2.01m),Abo,"023 (Red,Blue,Yellow,FireRed,LeafGreen)050 (Gold,Silver,Crystal)050 (HeartGold,SoulSilver)037 (X,Y)",023,40,54,Snake Pokmon,55, Poison ,15.2 lbs (6.9 kg), Ekans is a Poison type Pokmon introduced in Generation 1. It is known as the Snake Pokmon. ,Ekans
23,IntimidateShed SkinUnnerve (hidden ability),85,147,70 (normal),"90 (11.8% with PokBall, full HP)",69, 2 Attack," Dragon, Field ","21 (minimum 5,355 steps)","50% male, 50% female",Medium Fast,60,11′6″ (3.51m),Abokku,"024 (Red,Blue,Yellow,FireRed,LeafGreen)051 (Gold,Silver,Crystal)051 (HeartGold,SoulSilver)038 (X,Y)",024,65,79,Cobra Pokmon,80, Poison ,143.3 lbs (65.0 kg), Arbok is a Poison type Pokmon introduced in Generation 1. It is known as the Cobra Pokmon. ,Arbok
24,StaticLightning Rod (hidden ability),55,82,70 (normal),"190 (24.8% with PokBall, full HP)",40, 2 Speed," Fairy, Field ","11 (minimum 2,805 steps)","50% male, 50% female",Medium Fast,35,1′4″ (0.41m),,"025 (Red,Blue,Yellow,FireRed,LeafGreen)022 (Gold,Silver,Crystal)156 (Ruby,Sapphire,Emerald)104 (Diamond,Pearl)104 (Platinum)022 (HeartGold,SoulSilver)036 (X,Y)163 (Omega Ruby,Alpha Sapphire)025 (Sun,Moon)",025,50,50,Mouse Pokmon,90, Electric ,13.2 lbs (6.0 kg), Pikachu is an Electric type Pokmon introduced in Generation 1. It is known as the Mouse Pokmon. ,Pikachu
25,StaticLightning Rod (hidden ability),90,122,70 (normal),"75 (9.8% with PokBall, full HP)",55, 3 Speed," Fairy, Field ","11 (minimum 2,805 steps)","50% male, 50% female",Medium Fast,60,2′7″ (0.79m),,"026 (Red,Blue,Yellow,FireRed,LeafGreen)023 (Gold,Silver,Crystal)157 (Ruby,Sapphire,Emerald)105 (Diamond,Pearl)105 (Platinum)023 (HeartGold,SoulSilver)037 (X,Y)164 (Omega Ruby,Alpha Sapphire)",026,90,80,Mouse Pokmon,110, Electric ,66.1 lbs (30.0 kg), Raichu is an Electric type Pokmon introduced in Generation 1. It is known as the Mouse Pokmon. Raichu has a new Alolan form introduced in Pokmon Sun/Moon. ,Raichu
26,Sand VeilSand Rush (hidden ability),75,93,70 (normal),"255 (33.3% with PokBall, full HP)",85, 1 Defense, Field ,"21 (minimum 5,355 steps)","50% male, 50% female",Medium Fast,50,2′0″ (0.61m),Sando,"027 (Red,Blue,Yellow,FireRed,LeafGreen)048 (Gold,Silver,Crystal)112 (Ruby,Sapphire,Emerald)048 (HeartGold,SoulSilver)113 (Black 2,White 2)097 (X,Y)117 (Omega Ruby,Alpha Sapphire)",027,20,30,Mouse Pokmon,40, Ground ,26.5 lbs (12.0 kg), Sandshrew is a Ground type Pokmon introduced in Generation 1. It is known as the Mouse Pokmon. Sandshrew has a new Alolan form introduced in Pokmon Sun/Moon. ,Sandshrew
27,Sand VeilSand Rush (hidden ability),100,163,70 (normal),"90 (11.8% with PokBall, full HP)",110, 2 Defense, Field ,"21 (minimum 5,355 steps)","50% male, 50% female",Medium Fast,75,3′3″ (0.99m),Sandopan,"028 (Red,Blue,Yellow,FireRed,LeafGreen)049 (Gold,Silver,Crystal)113 (Ruby,Sapphire,Emerald)049 (HeartGold,SoulSilver)114 (Black 2,White 2)098 (X,Y)118 (Omega Ruby,Alpha Sapphire)",028,45,55,Mouse Pokmon,65, Ground ,65 lbs (29.5 kg), Sandslash is a Ground type Pokmon introduced in Generation 1. It is known as the Mouse Pokmon. Sandslash has a new Alolan form introduced in Pokmon Sun/Moon. ,Sandslash
28,Poison PointRivalryHustle (hidden ability),47,59,70 (normal),"235 (30.7% with PokBall, full HP)",52, 1 HP," Field, Monster ","21 (minimum 5,355 steps)","0% male, 100% female",Medium Slow,55,1′4″ (0.41m),,"029 (Red,Blue,Yellow,FireRed,LeafGreen)095 (Gold,Silver,Crystal)095 (HeartGold,SoulSilver)104 (X,Y)",029,40,40,Poison Pin Pokmon,41, Poison ,15.4 lbs (7.0 kg), Nidoran♀ is a Poison type Pokmon introduced in Generation 1. It is known as the Poison Pin Pokmon. ,Nidoran-f
29,Poison PointRivalryHustle (hidden ability),62,117,70 (normal),"120 (15.7% with PokBall, full HP)",67, 2 HP, Undiscovered ,"21 (minimum 5,355 steps)","0% male, 100% female",Medium Slow,70,2′7″ (0.79m),,"030 (Red,Blue,Yellow,FireRed,LeafGreen)096 (Gold,Silver,Crystal)096 (HeartGold,SoulSilver)105 (X,Y)",030,55,55,Poison Pin Pokmon,56, Poison ,44.1 lbs (20.0 kg), Nidorina is a Poison type Pokmon introduced in Generation 1. It is known as the Poison Pin Pokmon. ,Nidorina
30,Poison PointRivalrySheer Force (hidden ability),92,194,70 (normal),"45 (5.9% with PokBall, full HP)",87, 3 HP, Undiscovered ,"21 (minimum 5,355 steps)","0% male, 100% female",Medium Slow,90,4′3″ (1.30m),Nidokuin,"031 (Red,Blue,Yellow,FireRed,LeafGreen)097 (Gold,Silver,Crystal)097 (HeartGold,SoulSilver)106 (X,Y)",031,75,85,Drill Pokmon,76, Poison Ground ,132.3 lbs (60.0 kg), Nidoqueen is a Poison/Ground type Pokmon introduced in Generation 1. It is known as the Drill Pokmon. ,Nidoqueen
31,Poison PointRivalryHustle (hidden ability),57,60,70 (normal),"235 (30.7% with PokBall, full HP)",40, 1 Attack," Field, Monster ","21 (minimum 5,355 steps)","100% male, 0% female",Medium Slow,46,1′8″ (0.51m),,"032 (Red,Blue,Yellow,FireRed,LeafGreen)098 (Gold,Silver,Crystal)098 (HeartGold,SoulSilver)107 (X,Y)",032,40,40,Poison Pin Pokmon,50, Poison ,19.8 lbs (9.0 kg), Nidoran♂ is a Poison type Pokmon introduced in Generation 1. It is known as the Poison Pin Pokmon. ,Nidoran-m
32,Poison PointRivalryHustle (hidden ability),72,118,70 (normal),"120 (15.7% with PokBall, full HP)",57, 2 Attack," Field, Monster ","21 (minimum 5,355 steps)","100% male, 0% female",Medium Slow,61,2′11″ (0.89m),,"033 (Red,Blue,Yellow,FireRed,LeafGreen)099 (Gold,Silver,Crystal)099 (HeartGold,SoulSilver)108 (X,Y)",033,55,55,Poison Pin Pokmon,65, Poison ,43 lbs (19.5 kg), Nidorino is a Poison type Pokmon introduced in Generation 1. It is known as the Poison Pin Pokmon. ,Nidorino
33,Poison PointRivalrySheer Force (hidden ability),102,195,70 (normal),"45 (5.9% with PokBall, full HP)",77, 3 Attack," Field, Monster ","21 (minimum 5,355 steps)","100% male, 0% female",Medium Slow,81,4′7″ (1.40m),Nidokingu,"034 (Red,Blue,Yellow,FireRed,LeafGreen)100 (Gold,Silver,Crystal)100 (HeartGold,SoulSilver)109 (X,Y)",034,85,75,Drill Pokmon,85, Poison Ground ,136.7 lbs (62.0 kg), Nidoking is a Poison/Ground type Pokmon introduced in Generation 1. It is known as the Drill Pokmon. ,Nidoking
34,Cute CharmMagic GuardFriend Guard (hidden ability),45,68,140 (higher than normal),"150 (19.6% with PokBall, full HP)",48, 2 HP, Fairy ,"11 (minimum 2,805 steps)","25% male, 75% female",Fast,70,2′0″ (0.61m),Pippi,"035 (Red,Blue,Yellow,FireRed,LeafGreen)041 (Gold,Silver,Crystal)100 (Diamond,Pearl)100 (Platinum)041 (HeartGold,SoulSilver)089 (Black 2,White 2)",035,60,65,Fairy Pokmon,35, Fairy ,16.5 lbs (7.5 kg)," Clefairy is a Fairy type Pokmon introduced in Generation 1. It is known as the Fairy Pokmon. Prior to Generation 6, Clefairy was Normal type. ",Clefairy
35,Cute CharmMagic GuardUnaware (hidden ability),70,129,140 (higher than normal),"25 (3.3% with PokBall, full HP)",73, 3 HP, Fairy ,"11 (minimum 2,805 steps)","25% male, 75% female",Fast,95,4′3″ (1.30m),Pikushi,"036 (Red,Blue,Yellow,FireRed,LeafGreen)042 (Gold,Silver,Crystal)101 (Diamond,Pearl)101 (Platinum)042 (HeartGold,SoulSilver)090 (Black 2,White 2)",036,95,90,Fairy Pokmon,60, Fairy ,88.2 lbs (40.0 kg)," Clefable is a Fairy type Pokmon introduced in Generation 1. It is known as the Fairy Pokmon. Prior to Generation 6, Clefable was Normal type. ",Clefable
36,Flash FireDrought (hidden ability),41,63,70 (normal),"190 (24.8% with PokBall, full HP)",40, 1 Speed, Field ,"21 (minimum 5,355 steps)","25% male, 75% female",Medium Fast,38,2′0″ (0.61m),Rokon,"037 (Red,Blue,Yellow,FireRed,LeafGreen)125 (Gold,Silver,Crystal)153 (Ruby,Sapphire,Emerald)127 (HeartGold,SoulSilver)248 (Black 2,White 2)160 (Omega Ruby,Alpha Sapphire)",037,50,65,Fox Pokmon,65, Fire ,21.8 lbs (9.9 kg), Vulpix is a Fire type Pokmon introduced in Generation 1. It is known as the Fox Pokmon. Vulpix has a new Alolan form introduced in Pokmon Sun/Moon. ,Vulpix
37,Flash FireDrought (hidden ability),76,178,70 (normal),"75 (9.8% with PokBall, full HP)",75," 1 Special Defense, 1 Speed", Field ,"21 (minimum 5,355 steps)","25% male, 75% female",Medium Fast,73,3′7″ (1.09m),Kyukon,"038 (Red,Blue,Yellow,FireRed,LeafGreen)126 (Gold,Silver,Crystal)154 (Ruby,Sapphire,Emerald)128 (HeartGold,SoulSilver)249 (Black 2,White 2)161 (Omega Ruby,Alpha Sapphire)",038,81,100,Fox Pokmon,100, Fire ,43.9 lbs (19.9 kg), Ninetales is a Fire type Pokmon introduced in Generation 1. It is known as the Fox Pokmon. ,Ninetales
38,CompetitiveCute CharmFriend Guard (hidden ability),45,76,70 (normal),"170 (22.2% with PokBall, full HP)",20, 2 HP, Fairy ,"11 (minimum 2,805 steps)","25% male, 75% female",Fast,115,1′8″ (0.51m),Purin,"039 (Red,Blue,Yellow,FireRed,LeafGreen)044 (Gold,Silver,Crystal)138 (Ruby,Sapphire,Emerald)044 (HeartGold,SoulSilver)282 (Black 2,White 2)120 (X,Y)143 (Omega Ruby,Alpha Sapphire)",039,45,25,Balloon Pokmon,20, Normal Fairy ,12.1 lbs (5.5 kg)," Jigglypuff is a Normal/Fairy type Pokmon introduced in Generation 1. It is known as the Balloon Pokmon. Prior to Generation 6, Jigglypuff was a pure Normal type. ",Jigglypuff
39,CompetitiveCute CharmFrisk (hidden ability),70,109,70 (normal),"50 (6.5% with PokBall, full HP)",45, 3 HP, Fairy ,"11 (minimum 2,805 steps)","25% male, 75% female",Fast,140,3′3″ (0.99m),Pukurin,"040 (Red,Blue,Yellow,FireRed,LeafGreen)045 (Gold,Silver,Crystal)139 (Ruby,Sapphire,Emerald)045 (HeartGold,SoulSilver)283 (Black 2,White 2)121 (X,Y)144 (Omega Ruby,Alpha Sapphire)",040,85,50,Balloon Pokmon,45, Normal Fairy ,26.5 lbs (12.0 kg)," Wigglytuff is a Normal/Fairy type Pokmon introduced in Generation 1. It is known as the Balloon Pokmon. Prior to Generation 6, Wigglytuff was a pure Normal type. ",Wigglytuff
40,Inner FocusInfiltrator (hidden ability),45,54,70 (normal),"255 (33.3% with PokBall, full HP)",35, 1 Speed, Flying ,"16 (minimum 4,080 steps)","50% male, 50% female",Medium Fast,40,2′7″ (0.79m),Zubatto,"041 (Red,Blue,Yellow,FireRed,LeafGreen)037 (Gold,Silver,Crystal)063 (Ruby,Sapphire,Emerald)028 (Diamond,Pearl)028 (Platinum)037 (HeartGold,SoulSilver)061 (Black 2,White 2)145 (X,Y)065 (Omega Ruby,Alpha Sapphire)",041,30,40,Bat Pokmon,55, Poison Flying ,16.5 lbs (7.5 kg), Zubat is a Poison/Flying type Pokmon introduced in Generation 1. It is known as the Bat Pokmon. ,Zubat
41,Inner FocusInfiltrator (hidden ability),80,171,70 (normal),"90 (11.8% with PokBall, full HP)",70, 2 Speed, Flying ,"16 (minimum 4,080 steps)","50% male, 50% female",Medium Fast,75,5′3″ (1.60m),Gorubatto,"042 (Red,Blue,Yellow,FireRed,LeafGreen)038 (Gold,Silver,Crystal)064 (Ruby,Sapphire,Emerald)029 (Diamond,Pearl)029 (Platinum)038 (HeartGold,SoulSilver)062 (Black 2,White 2)146 (X,Y)066 (Omega Ruby,Alpha Sapphire)",042,65,75,Bat Pokmon,90, Poison Flying ,121.3 lbs (55.0 kg), Golbat is a Poison/Flying type Pokmon introduced in Generation 1. It is known as the Bat Pokmon. ,Golbat
42,ChlorophyllRun Away (hidden ability),50,78,70 (normal),"255 (33.3% with PokBall, full HP)",55, 1 Special Attack, Grass ,"21 (minimum 5,355 steps)","50% male, 50% female",Medium Slow,45,1′8″ (0.51m),Nazonokusa,"043 (Red,Blue,Yellow,FireRed,LeafGreen)083 (Gold,Silver,Crystal)088 (Ruby,Sapphire,Emerald)083 (HeartGold,SoulSilver)105 (X,Y)091 (Omega Ruby,Alpha Sapphire)",043,75,65,Weed Pokmon,30, Grass Poison ,11.9 lbs (5.4 kg), Oddish is a Grass/Poison type Pokmon introduced in Generation 1. It is known as the Weed Pokmon. ,Oddish
43,ChlorophyllStench (hidden ability),65,132,70 (normal),"120 (15.7% with PokBall, full HP)",70, 2 Special Attack, Grass ,"21 (minimum 5,355 steps)","50% male, 50% female",Medium Slow,60,2′7″ (0.79m),Kusaihana,"044 (Red,Blue,Yellow,FireRed,LeafGreen)084 (Gold,Silver,Crystal)089 (Ruby,Sapphire,Emerald)084 (HeartGold,SoulSilver)106 (X,Y)092 (Omega Ruby,Alpha Sapphire)",044,85,75,Weed Pokmon,40, Grass Poison ,19 lbs (8.6 kg), Gloom is a Grass/Poison type Pokmon introduced in Generation 1. It is known as the Weed Pokmon. ,Gloom
44,ChlorophyllEffect Spore (hidden ability),80,184,70 (normal),"45 (5.9% with PokBall, full HP)",85, 3 Special Attack, Grass ,"21 (minimum 5,355 steps)","50% male, 50% female",Medium Slow,75,3′11″ (1.19m),Rafureshia,"045 (Red,Blue,Yellow,FireRed,LeafGreen)085 (Gold,Silver,Crystal)090 (Ruby,Sapphire,Emerald)085 (HeartGold,SoulSilver)107 (X,Y)093 (Omega Ruby,Alpha Sapphire)",045,110,90,Flower Pokmon,50, Grass Poison ,41 lbs (18.6 kg), Vileplume is a Grass/Poison type Pokmon introduced in Generation 1. It is known as the Flower Pokmon. ,Vileplume
